Nome,Unità di misura,Contatore usi
Acciuga,Unità,2
Acciuga in pasta,Cucchiaio,2
Acciuga sottolio,Unità,1
Aceto,Cucchiaio,32
Aceto Balsamico in crema,Cucchiai,3
Aceto balsamico,Cucchiai,31
Aceto balsamico di Modena,Unità,3
Aceto balsamico tradizionale di Modena,Cucchiaio,3
Aceto bianco,lt,27
Aceto di canna,ml,1
Aceto di lamponi,Cucchiaio,1
Aceto di mela,ml,1
Aceto di mele,lt,61
Aceto di riso,ml,23
Aceto di vino,Cucchiaino,4
Aceto di vino bianco,lt,24
Aceto di vino bianco o di mele,Cucchiai,1
Aceto di vino rosso,ml,4
Aceto fi mela,ml,2
Aceto rosso,Cucchiai,3
Acqua,ml,620
Acqua  temperatura ambiente,ml,1
Acqua  tiepida,ml,1
Acqua (meglio se quella di cottura dei fagioli),Cucchiai,2
Acqua (tenetene da parte 30 g),ml,1
Acqua a temperatura ambiente,g,4
Acqua aromatica alle rose,Cucchiai,1
Acqua aromatica di fiori d'arancio,Unità,1
Acqua aromatizzata ai fiori,Cucchiai,1
Acqua bollente,Cucchiai,4
Acqua calda,ml,8
Acqua di cocco,ml,1
Acqua di cottura della pasta,Mestoli,2
Acqua di fiori d'arancio,Cucchiaino,1
Acqua di fiori di arancio,Cucchiaio,1
Acqua fredda,Unità,21
Acqua freddissima,ml,2
Acqua frizante,ml,2
Acqua frizzante,Unità,14
Acqua frizzante fredda,Bicchiere,2
Acqua ghiacciata,Cucchiaio,3
Acqua millefiori,Cucchiaio,1
Acqua minerale,ml,3
Acqua minerale fredda,Cucchiaio,1
Acqua minerale frizzante,Unità,1
Acqua minerale naturale,ml,2
Acqua molto fredda,ml,1
Acqua oppure brodo vegetale,ml,2
Acqua sbucciato,ml,2
Acqua tazze,Unità,1
Acqua tiepida,ml,41
Acqua tiepido,g,2
Acqua tonica,ml,3
Agar agar,bustina,7
Agar agar in polvere,g,1
Aglio,Spicchio,765
Aglio  intero e schiacciato,Spicchio,1
Aglio (facoltarivo),Spicchio,1
Aglio 1/4 di spicchio,Unità,4
Aglio essiccato,Cucchiaino,1
Aglio in camicia,Spicchio,3
Aglio in polvere,Cucchiaino,8
Aglio novello,Spicchio,1
Aglio o la punta di undi aglio in polvere,Spicchio,1
Aglio polvere,Cucchiaino,1
Aglio rosso,g,1
Aglio spicchio,rotoli,5
Aglione,Spicchio,1
Agnello,kg,2
Agnello a pezzi,kg,1
Agnello carrè,g,1
Agnello corata,Unità,1
Agnello cosciotto,Unità,2
Agnello costolette,Unità,4
Agnello da latte,kg,1
Agnello la coscia,kg,1
Agnello polpa a pezzetti,kg,2
Agnello spalla talgiata a pezzi,Unità,2
Agretti,g,4
Albicocca,Unità,11
Albicocca disidratate,g,1
Albume,Unità,32
Albume 2,Unità,1
Albumi,Unità,39
Albumi  d'uovo a temperatura ambiente (meglio se vecchi di 2 giorni),g,1
Albumi montati a neve,Unità,1
Albumi pastorizzati,g,1
Albumi pastorizzato,ml,1
Alchermes,Unità,6
Alcol 90°,ml,1
Alcol a 95 gradi,lt,1
Alga Kombu,Foglio,3
Alga Nori,Foglio,7
Alga Wakame essiccata,g,2
Alga kombu,cm,2
Alga nori,Foglio,8
Alga nori in fogli,Unità,1
Alga spirulina,Cucchiaino,1
Alici,g,7
Alici filetti sottolio,Unità,1
Alici fresche,g,2
Alici sottolio,Filetto,11
Alici sottolio a filetti,g,2
Alloro,Foglia,155
Alloro fresco,Foglia,1
Amaranto,g,3
Amarena sciroppata,g,1
Amarena sciroppate,Cucchiai,1
"Amarena sciroppate, con poco del loro sciroppo",Unità,1
"Amarena sciroppate, sgocciolate",Unità,1
Amarena sciroppo,Cucchiai,1
Amarene,kg,7
Amarene sotto spirito,Unità,1
Amaretti,g,15
Amaretti piccoli,g,1
Amaretti secchi,g,1
Amaretto di Saronno,goccia,4
Amido,g,8
Amido  di mais,g,1
Amido di mais,g,42
Amido di mais (o fecola di patate),g,2
Amido di mais o di riso,g,1
Amido di patata,Cucchiaino,2
Amido di riso,g,6
Ammoniaca per dolci,g,3
Anacardo,g,5
Anacardo al naturale,g,2
Ananas,Unità,8
Ananas centrifugato,ml,2
Ananas fresco,g,3
Ananas il succo,ml,1
Ananas polpa,g,1
Ananas succo,ml,2
Anatra disossata,Unità,1
Anatra petto,g,1
Ancho polvere,Cucchiaino,1
Anelletti,g,2
Aneto,Unità,6
