Nome,Quantita,Unità di misura
Cozza,0,kg
Aglio,0,Spicchio
Vino bianco secco,0,Bicchiere
Pomodoro pelati,0,Scatola
Olio,0,Cucchiai
Prezzemolo,0,Mazzetto
Peperoncino fresco o secco,0,Unità
Uova,0,Unità
Asparago verdi,0,g
Patate,0,g
Burro,0,g
Latte intero,0,ml
Parmigiano reggiano grattugiato,0,g
Sale fino,0,Unità
Pepe nero macinato fresco,0,Unità
Ceci farina,0,g
Acqua,0,ml
Prezzemolo fresco,0,Mazzetto
Olio di semi per friggere,0,lt
Coniglio,0,g
Carota,0,Unità
Sedano,0,Costa
Cipolla bianca,0,Unità
Timo,0,Rametto
Rosmarino,0,Rametto
Alloro,0,Foglia
Salvia,0,Foglia
Sale grosso,0,Cucchiaio
Chiodi di garofano,0,Unità
Olio extravergine di oliva,0,Unità
Stoccafisso,0,Unità
Olive nere taggiasche denocciolate,0,g
Erbe aromatiche,0,Mazzetto
Pepe nero macinato,0,Unità
Vongole,0,g
Surimi,0,g
Cetriolo,0,Unità
Cavoli capuccio,0,g
Mais dolce al vapore,0,g
Maionese,0,Cucchiaio
Yogurt bianco intero,0,Cucchiai
Sale,0,Unità
Mortadella a cubetti,0,g
Ricotta vaccina,0,g
Panna liquida,0,Cucchiaio
Zucca,0,kg
Aceto di mele,0,lt
Zucchero semolato bianco,0,Bicchiere
Peperoncino secco,0,Unità
Olio di semi di mais,0,Unità
Manzo muscolo,0,g
Cipolle,0,Unità
Carote,0,Unità
Porri,0,Unità
Rape,0,Unità
Ossobuco,0,Unità
Trippa,0,g
Uovo,0,Unità
Farina 00,0,Cucchiai
Limone la scorza grattugiata e il succo,0,Unità
Panini,0,Unità
Porchetta,0,g
Salsa verde,0,g
Zucca al netto degli scarti,0,g
Noce moscata,0,Unità
Broccolo,0,Unità
Acqua frizzante,0,Unità
Lievito di birra fresco,0,cubetto
Porcino freschi,0,kg
Aceto di vino bianco,0,lt
Vino bianco,0,lt
Pepe nero in grani,0,Unità
Carne arrosto,0,g
Tuorli d'uovo,0,Unità
Pangrattato,0,Unità
Lievito istantaneo per torte salate,0,g
Pomodori passata,0,ml
Mozzarella fiordilatte,0,Unità
Origano secco,0,Cucchiaino
Basilico fresco,0,Unità
Aceto,0,Cucchiaio
Cappero sottaceto,0,Cucchiaio
Cetriolino sottaceto,0,Unità
Olio di semi,0,Unità
Dragoncello fresco,0,Mazzetto
Pasta brisé,0,rotolo
Speck affettato,0,g
Scamorza affumicata,0,Unità
Cavolfiore,0,Unità
Cipollotto,0,Unità
Albumi,0,Unità
Rosmarino fresco,0,Rametto
Pomodori perini,0,Unità
Acqua minerale frizzante,0,Unità
Acqua tiepida,0,ml
Riso,0,g
Prescinseua,0,g
Albume,0,Unità
Olio di semi di sesamo,0,Cucchiai
Gambero code,0,g
Porro,0,Unità
Salsa di soia,0,Cucchiai
Zenzero,0,cm
Lime,0,Unità
Peperoncino arancione peruviano,0,Unità
Tonno in scatola (peso sgocciolato),0,g
Avocado maturo,0,Unità
Uova lesse,0,Unità
Farina,0,g
Lievito di birra secco,0,g
Acqua tiepido,0,g
Scarola,0,g
Olive nere denocciolate,0,Cucchiai
Pinoli,0,g
Alici sottolio,0,Filetto
Sedano rapa al netto degli scarti,0,g
Mela,0,g
Limoni il succo,0,ml
Pepe macinato fresco,0,Unità
Noci gherigli,0,g
Yogurt greco,0,g
Miele,0,g
Pomodori maturi,0,Unità
Manzo filetto,0,g
Limoni succo,0,ml
Cappero sottoaceto,0,Cucchiaio
Senape,0,Cucchiaino
Tabasco,0,Cucchiaino
Strutto,0,g
Tuma fresca,0,g
Acciuga sottolio,0,Unità
Parmigiano,0,g
Limoni non trattato,0,Unità
Tonno sottolio sgocciolato,0,g
Cappero sotto sale,0,Cucchiaio
Riso per sushi,0,g
Aceto di riso,0,ml
Alga Nori,0,Foglio
Avocado,0,Unità
Sesamo nero semi,0,Unità
Cipolle grandi e tonde,0,Unità
Olio di semi di arachide,0,lt
Lievito per torte salate,0,Cucchiaino
Parmigiano reggiano gragttigiato,0,Cucchiaio
Peperone rosso,0,Unità
Cipolla,0,Unità
Aceto bianco,0,lt
Lardo,0,g
King crab la polpa,0,g
Pomodori,0,Unità
Cipolla rossa,0,Unità
Pomodori secchi sottolio,0,Unità
Ghiaccio,0,cubetto
Gamberone,0,Unità
Valeriana,0,g
Arancia rossa,0,Unità
Pepe rosa in grani,0,Cucchiaino
Succo di arancia,0,Unità
Melanzana,0,Unità
Mozzarella,0,Unità
Prosciutto cotto,0,g
Prezzemolo tritato,0,Cucchiaio
Mozzarella ciliegine,0,Unità
Pomodori ciliegino,0,Unità
Erba cipollina fresca,0,Mazzetto
Scampo,0,kg
Pomodori pelati,0,g
Peperoncino,0,Unità
Salmone già abbattuto,0,g
Formaggio spalmabile,0,g
