,"americano cocktail, la ricetta nata in italia negli anni 30","angelo azzurro, la ricetta del cocktail delle notti in discoteca degli anni ottanta",bellini cocktail,"bloody mary cocktail, la ricetta del drink a base di succo di pomodoro","caipiroska alla fragola, quando la modifica di una ricetta diventa più famosa del cocktail originale",caipiroska: la ricetta del cocktail con la vodka fatto in casa,"canarino, la ricetta della bevanda digestiva con limone e alloro","cappuccino con il bimby, la ricetta per ottenere un risultato da bar",cocktail rossini,"cosmopolitan cocktail, la ricetta del drink con 4 ingredienti che tutta new york ama","cuba libre cocktail, la ricetta con pochi ingredienti per un drink facile da fare","daiquiri cocktail, ricetta e ingredienti del drink di hemingway","gin tonic, la ricetta con le dosi e gli ingredienti migliori per prepararlo","grasshopper cocktail, la ricetta originale del drink per farlo a casa",hugo cocktail,japanese slipper cocktail,"long island cocktail, la ricetta e gli ingredienti del drink che sembra tè freddo","manhattan cocktail, gli ingredienti e la ricetta del drink con whisky e vermut","margarita cocktail, la ricetta originale, la storia e alcune varianti",martini cocktail,mary pickford il cocktail bello da vedere,mojito cocktail,"negroni sbagliato, la ricetta nata da un barista annoiato e diventata mito","old fashoned cocktail, la ricetta e gli ingredienti del drink di don draper",paloma cocktail,pink lady cocktail,"quattro bianchi cocktail, la ricetta e gli ingredienti del drink dello sballo","sangria classica, la ricetta della bevanda fresca e dissetante","sex on the beach, gli ingredienti e la ricetta del cocktail nato in florida",spritz,"tequila sunrise cocktail, la ricetta e gli ingredienti di un drink poco alcolico"
"americano cocktail, la ricetta nata in italia negli anni 30",1.0,0.0,0.0,0.0,0.09,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08
"angelo azzurro, la ricetta del cocktail delle notti in discoteca degli anni ottanta",0.0,1.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bellini cocktail,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"bloody mary cocktail, la ricetta del drink a base di succo di pomodoro",0.0,0.0,0.0,1.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.08,0.0,0.0
"caipiroska alla fragola, quando la modifica di una ricetta diventa più famosa del cocktail originale",0.09,0.1,0.0,0.08,1.0,0.34,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.1,0.0,0.0,0.08,0.09,0.18,0.1,0.09,0.18,0.0,0.09,0.0,0.0,0.17,0.0,0.09,0.1,0.0
caipiroska: la ricetta del cocktail con la vodka fatto in casa,0.0,0.0,0.0,0.0,0.34,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"canarino, la ricetta della bevanda digestiva con limone e alloro",0.12,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0
"cappuccino con il bimby, la ricetta per ottenere un risultato da bar",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cocktail rossini,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"cosmopolitan cocktail, la ricetta del drink con 4 ingredienti che tutta new york ama",0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"cuba libre cocktail, la ricetta con pochi ingredienti per un drink facile da fare",0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"daiquiri cocktail, ricetta e ingredienti del drink di hemingway",0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"gin tonic, la ricetta con le dosi e gli ingredienti migliori per prepararlo",0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.09,0.0,0.0,0.11,0.0,0.1,0.0,0.0,0.0,0.11,0.1,0.0,0.0,0.0,0.1
"grasshopper cocktail, la ricetta originale del drink per farlo a casa",0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hugo cocktail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
japanese slipper cocktail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"long island cocktail, la ricetta e gli ingredienti del drink che sembra tè freddo",0.0,0.0,0.0,0.06,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"manhattan cocktail, gli ingredienti e la ricetta del drink con whisky e vermut",0.08,0.09,0.0,0.0,0.09,0.1,0.0,0.0,0.0,0.09,0.09,0.09,0.0,0.09,0.0,0.0,0.0,1.0,0.08,0.09,0.08,0.08,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.09,0.0
"margarita cocktail, la ricetta originale, la storia e alcune varianti",0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08
martini cocktail,0.0,0.0,0.0,0.0,0.1,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.09,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mary pickford il cocktail bello da vedere,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mojito cocktail,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
