,aglio sott’olio,amarene sciroppate,apple butter,apple butter o burro di mele,basilico sott’olio,caramelle alla menta,caramelle di gelatina alla frutta,cetrioli sotto aceto,chutney di mango speziato,chutney di melanzane,chutney di pere,ciliegie sciroppate,cipolle in agrodolce con salsa di soia,cipolle rosse in agrodolce,come fare i funghi porcini sottolio in tre mosse,composta di mele pinoli e uvetta,composta di pesche alla vaniglia,composta di rabarbaro,"concentrato di pomodoro fatto in casa, la ricetta per farlo asciutto e saporito",confettura di ciliegie,confettura di fragole e semi di chia senza cottura,confettura di pere e mele allo zafferano,confettura di pesche e amaretti,confettura di pomodori verdi,conserva di fagiolini sott’olio,curd di nespole alla menta,funghi sott’olio,garam masala,giardiniera,ketchup fatto in casa,lemon curd,liquore al cedro,liquore alla menta e limone,"marmellata di arance amare senza zucchero, una ricetta anti-fame",marmellata di arance con il bimby,marmellata di ciliegie bimby,"marmellata di cipolle con il bimby, per una consistenza perfetta",marmellata di fichi e noci,marmellata di fragole,marmellata di kiwi fatta in casa,marmellata di lamponi senza zucchero,"marmellata di limoni senza buccia fatta in casa, una ricetta con poco zucchero",marmellata di prugne,marmellata di prugne e zenzero,marron glacé,melanzane sott’olio,melanzane sott’olio fatte in casa,melanzane sott’olio senza cottura,olive in salamoia,passata di pomodoro,peperoncini sott’olio,peperoni cruschi,pesche sciroppate,pomodori secchi sott’olio,pomodorini confit,"preparato per biscotti ai fiocchi d’avena, mandorle e mirtilli",rumtopf,sale al vino rosso,sale aromatizzato alle erbe,sciroppo al cioccolato,succo di mela fatto in casa,tartellette con confettura di latte e miele,uova in conserva,uva sotto spirito: come farla in casa facilmente e a basso costo,"zucca sott’olio, la ricetta di una conserva senza cottura",zucchine sott’olio
aglio sott’olio,1.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.07,0.11,0.06,0.0,0.08,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.38,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.06,0.06,0.1,0.08,0.22,0.11,0.0,0.26,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.06,0.19
amarene sciroppate,0.0,1.0,0.0,0.0,0.0,0.16,0.18,0.0,0.0,0.0,0.0,0.18,0.0,0.18,0.0,0.0,0.16,0.18,0.0,0.18,0.0,0.14,0.0,0.2,0.0,0.0,0.0,0.0,0.12,0.11,0.16,0.18,0.16,0.0,0.0,0.2,0.18,0.0,0.2,0.0,0.0,0.0,0.2,0.14,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.16,0.12,0.0
apple butter,0.0,0.0,1.0,0.08,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.1,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.06,0.06,0.0,0.0,0.0
apple butter o burro di mele,0.0,0.0,0.08,1.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.38,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0
basilico sott’olio,0.26,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.32,0.34,0.2,0.0,0.29,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29
caramelle alla menta,0.0,0.16,0.0,0.0,0.0,1.0,0.11,0.0,0.0,0.0,0.0,0.22,0.09,0.11,0.0,0.0,0.2,0.11,0.0,0.11,0.0,0.18,0.0,0.13,0.08,0.34,0.08,0.0,0.14,0.07,0.1,0.22,0.2,0.0,0.0,0.13,0.11,0.0,0.13,0.0,0.1,0.0,0.13,0.09,0.3,0.16,0.08,0.0,0.11,0.0,0.0,0.0,0.11,0.0,0.0,0.08,0.13,0.0,0.0,0.26,0.11,0.07,0.07,0.2,0.08,0.08
caramelle di gelatina alla frutta,0.0,0.18,0.0,0.0,0.0,0.11,1.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.0,0.0,0.11,0.12,0.0,0.12,0.0,0.1,0.0,0.14,0.0,0.0,0.0,0.0,0.08,0.08,0.11,0.12,0.11,0.0,0.0,0.14,0.12,0.0,0.14,0.0,0.0,0.0,0.14,0.1,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.14,0.0,0.0,0.14,0.0,0.0,0.0,0.11,0.09,0.0
cetrioli sotto aceto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.07,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.12,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18
chutney di mango speziato,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.06,0.06,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.08,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.06,0.0,0.0,0.1,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.06,0.0,0.06,0.06
chutney di melanzane,0.11,0.0,0.05,0.07,0.1,0.0,0.0,0.07,0.06,1.0,0.04,0.07,0.06,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.06,0.1,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.1,0.05,0.0,0.13,0.07,0.08,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.05,0.1
