Ingrediente Planeat;Ingrediente Dissapore;Match Value
asparagi surgelati;ribes;0
tagliatelle secche all'uovo;uva;0
senape;acqua di fiori di arancio;0
farina di grano tenero 00;uvetta;0
peperoni;tartufo in scaglie;0
mezze penne;farina di riso;0
salamella (130 g);yogurt bianco non zuccherato;0
bresaola punta d'anca affettata;olio per friggere;0
pomodori datterini rondelle;whisky;0
orecchiette fresche;cedro;0
cuore di scamone con granella di pistacchi e mandorle;sidro;0
finocchio a spicchi;patate grandi;0
insalata mista;pomodoro;0
yogurt greco dop 10%;acciuga;0
verdure pastellate cotte;formaggio brie;0
mozzarella di bufala 125 g;tè verde in foglie;0
zucca;pasta tipo aneletti;0
taleggio dop cubetti;semola;0
asparagina mondata;robiola;0
vongole veraci;farina di riso;0
filetto di gallinella;uovo;0
sfoglia di mozzarella;pane nero;0
coscia di pollo disossata (150-200gr);baileys;0
fettine di cosciotto di agnello cotto a bassa temperatura;grissino;0
prosciutto cotto;caramella;0
alloro;crema di pistacchi;0
baffa di salmone fresco;menta;0
tonno in olio di semi di girasole;sidro;0
verdure per minestrone estivo;albume;0
sorrisi;melanzana lunghe e medie;0
cozze;salame fette sottili;0
farfalle;pomodoro concetrato;0
formaggio spalmabile 100 g;semi mix a piacere;0
zucchine julienne;formaggio fresco;0
spumante pinot nero extra dry oltrepò pavese cantina vanzini;pane mollica rafferma;0
birra artigianale reset;scampo;0
spaghetti quadrati;vitello;0
noci;pistacchi (granella);0
hummus;dragoncello fresco;0
scamone;patate da gnocchi;0
verdure per dadolata di verdure;cocco;0
dorato moscato vivace provincia di pavia igt cantina travaglino;funghi shiitake secchi;0
cubetti di cuore di merluzzo nordico;pesca;0
fusilli integrali;bergamotto;0
piadina integrale;cioccolato sciroppo;0
stracchino alta qualità;edamer;0
zucchine a fette per rotolini (4pz x20gr);mirin;0
verdure per paella;confettura di frutta chiara senza zucchero;0
tonno pinne gialle con granella di pistacchi e mandorle;kinder bueno;0
peperoni e carote cubettati;yogurt bianco denso;0
crema di latte;pompelmo il succo;0
salsa di soia kikkoman;uva;0
fagioli borlotti bio;nutella;0
spaghetti;limoni il succo;0
zucca cubo surgelata;brandy;0
lonza cotta al forno venata allo speck;curry rosso;0
fagioli di spagna;crusca;0
finocchi mondati;melograne;0
maionese artigianale;pollo fusi;0
patate lamelle;radicchio di treviso igp;0
code gambero argentino battute a coltello;uova;0
gorgorzola dop dolce;semi misti;0
mezze penne;cereali mix;0
uova da galline allevate all'aperto senza ogm, senza antibiotici - italia cat. a;tè;0
speck;nocciola in pasta;0
speck julienne;cioccolato una metà dell'uovo di pasqua;0
filetto di trota salmonata senza pelle 200/220;yogurt bianco;0
mezze penne;tacchino fesa;0
ravioli di brasato;zucchina;0
salame cacciatorino a fette;funghi;0
filetto di orata fresco (100/120 g );ceci;0
melanzane;farina di mais finissima tipo fumetto;0
bastoncini di carote lavati e mondati;agnello;0
patate cubettate small;burro fuso raffreddato;0
besciamella artigianale;acqua di fiori d'arancio;0
carne salada a fette;bigoli;0
pepite di formaggio stagionato;salume;0
formaggio stagionato julienne;caprino;0
luna by planeat.eco - bianco frizzante cortese igt (pv);kiwi;0
feta a fette;macinato di maiale;0
spinacino fresco lavato;pomodori gialli e rossi;0
fantasia mediterranea bonduelle;whisky;0
pomodoro grappolo;maiale filetto;0
filetto di orata fresco (100/120 g );pancarrè;0
coscia di pollo disossata (150-200gr);uva;0
zucca cubettata small;olio extravergine di olica;0
ossobuco di vitello;rum;0
pane rustico affettato;curry;0
verdure per insalata di ceci;pandoro;0
feta a fette;riso bomba;0
speck julienne;cardamomo;0
dadini di brasato;riso con farro e orzo precotti;0
provola affumicata cubettata;sedano;0
cubetti di tonno per spiedini;marshmallow;0
pepe nero in grani;lasagna arricciate;0
filetti di cuore di merluzzo nordico;cotenna;0
feta cubettata;ossobuco;0
gorgonzola dop cubetti;ravanello;0
piselli finissimi surgelati;cacao;0
ravioli di gambero;yogurt;0
pesto pregis;uova sode;0
catalogna;rape;0
riso basmati cotto;olio di girasole;0
carote cubettate;whisky bourbon;0
dischetti di semolino;prosciutto in dadini;0
capasanta atlantica fresca;uova bio;0
polpo cotto;gelato alla fragola;0
impegno;mirtillo puro in polvere;0
financier al cioccolato;carote già pulite;0
pane per hambuger ai semi di papavero;strutto;0
lievito biologico per dolci a base di cremor tartaro senza fosfati;olio extravergine;0
fettina di fesa di vitello;cavolo cappuccio;0
tortiglioni;prosecco 2/3 di bicchiere;0
rosette di cavolfiori;timo fresco;0
verdure cubettate;pistacchi farina;0
pepite di formaggio stagionato;pollo;0
funghi orecchiette;patate novella;0
polpa di merluzzo nordico tritato;bisque;0
salame cacciatorino a fette;cipolla rossa piccola;0
cotechino cotto;siracha;0
salsa babaganoush;yogurt intero al naturale;0
zucchine a fette per carpaccio;fagiolo borlotti già ammollati;0
zucchero a velo;alici;0
mascarpone;pera igp dell'emilia romagna;0
zucchine julienne;olive taggiasche denocciolate;0
limone 1 pz 100/130 g;mozzarella ciliegiene;0
uova da galline allevate all'aperto senza ogm, senza antibiotici - italia cat. a;scorfano;0
decorazioni in zucchero;sale maldon;0
preparato per panzanella;digestive;0
hamburger di manzo (100 gr);castagna fresca;0
ditalini rigati;arancia il succo e la scorza grattugiata;0
cubetti di caciocavallo dop silano;latte;0
mezze penne;agar agar;0
tonno in olio di semi di girasole;carletti;0
crespella;limoni non trattati, la scorza grattugiata;0
farina 00;pera;0
pasta per pizza;biscotti digestive;0
ciabattina di semola di grano duro;ricotta affumicata (a piacere);0
cuore di merluzzo nordico;panettone;0
pepite di formaggio stagionato;prosciutto cotto a fette;0
panna fresca;uova;0
salsa tonnata;lenticchie lessate;0
ragù di carne artigianale pronto al consumo;sale alla misticanza di fiori;0
riso venere cotto;acciughe;0
pennette;uva sultanina;0
spaghetti;yogurt naturale di soia;0
coste cotte;peperoncino secco;0
finocchietto selvatico;lemongrass;0
salsa tonnata;colomba;0
zucca;pancetta a fette;0
misto funghi con porcini cotti;caffè espresso bollente;0
pappardelle secche all'uovo;finocchietto semi;0
tonno in olio di semi di girasole;galangal;0
taleggio dop;lavanda non trattata;0
filetto di trota salmonata senza pelle 200/220;farina;0
finocchi;triglia di piccola pezzatura;0
tonno pinne gialle;mandorla estratto liquido;0
spaghettoni;arancia candita;0
pepe nero macinato;uva;0
stracciata di mozzarella di bufala;uova sode;0
arrosticini di pecora decongelati origine italia;olive taggiasche;0
coda di rospo congelata;glicerina;0
pasta sfoglia decongelata cruda;limone solo la buccia;0
fettina di tonno pinne gialle;finferli;0
zucchero a velo;origano;0
ditalini rigati per pastina in brodo;caco;0
salsa verde;ghiaccio tritato;0
patate in fiocchi;cappero sottosale;0
fesa di tacchino;spezie mix per paella;0
bresaola artigianale;cacao in polvere;0
filone mozzarella fette;cioccolato bianco senza glutine;0
limone 1pz 100/130 g (circa 40ml di succo);broccolo verdi;0
speck julienne;tè nero thailandese;0
salsa di soia e miele;zucchero in granella;0
bacon;peperoncino in pasta;0
polpo cotto tagliato;albume 2;0
crema di parmigiano;cocco essiccato in polvere;0
fagiolini cotti;mora;0
salmone fresco cubettato;fusilli;0
curry madras;parmigiano reggiano solo le croste;0
cozze;liquore al mirto;0
zucchine a fette per griglia;basilico fresco;0
sostenibilità;sedano rapa;0
ananas cubetti per spiedini;orzo decorticato;0
porro origine italia;funghi freschi;0
fettuccine integrali multicereali;mozzarella tipo fiordilatte;0
zucchine cubettate;edamer;0
alloro;rana pescatrice;0
catalogna;cipolle di tropea;0
bacon;olio evo delicato;0
gamberetti sgusciati e devenati;pistacchio granella;0
zucchine a fette per carpaccio;mirtillo succo;0
cime fresche lavate e mondate;manzo taglio roast beef;0
confettura extra albicocche 65% frutta;ossa;0
patate rondelle;arance essiccata;0
carote rondelle cotte;origano;0
cumino macinato;sfoglie per lasagne;0
fegato vitello fresco;seppiolina;0
passata di pomodoro 100% italia;salmone già abbattuto;0
fettina di lonza xl;pane raffermo;0
uova sode;limone la scorza grattuggiata;0
julienne di totano;riso bianco per sushi già cotto;0
bastoncini di carote lavati e mondati;avena fiocchi;0
zucchine a fette per rotolini (4pz x20gr);vino moscato;0
tortiglioni integrali;mandorle pelate e tostate;0
patate rondelle;farina di mais finissima;0
casera valtellina fette;birra chiara;0
pomodori datterini lavati;insalata songino;0
code di gambero argentino cotte;pistacchi salati e tostati;0
asiago tocchetti;carne di pollo o di vitello;0
taleggio dop fettine;meringhe;0
cubetti di pesce spada;birra;0
semi di sesamo;biscotti secchi tipo digestive;0
passata di pomodoro;olive verdi denocciolate;0
patate rondelle;colorante;0
spumante;formaggio spalmabile tipo philadelphia;0
cheesecake con coulis ai frutti di bosco;latticello (o yogurt e limone);0
primo sale;cioccolato fondente al 55% di cacao;0
lonza cotta al vapore;uva acini;0
pappardelle secche all'uovo;latte di riso;0
zucchine a fette per griglia;maiale coscia macinata;0
zucchine cubettate;pretzel mini;0
stracciata di mozzarella di bufala;vitello tasca;0
ananas tagliato maturato in pianta;smarties;0
pizza trancio margherita;chiodi di garofano;0
canederli planeat;provola dolce;0
fettina di pesce spada fresco;sidro;0
colomba pere e cioccolato;açai bacche in polvere;0
polpette primbeef;salmone affumicato a fette;0
pane grattugiato;caffè espresso amaro;0
mozzarella julienne;pepe nero vaccinato;0
peperoni cotti al forno senza pelle;salame fette sottili;0
emmenthal bavarese cubettato;farina di semola rimacinata;0
spinaci freschi mondati;fagiolo secchi;0
insalata novella;semi misti tostati;0
polpa di merluzzo nordico tritato;basilico fresco;0
casera valtellina dop;limone il succo;0
crocchette di patate;vitello fettine;0
fagioli cannellini bio;semi di lino tostati;0
uova da galline allevate all'aperto senza ogm, senza antibiotici - italia cat. a;limone solo il succo;0
verdure per paella;vitello carrè con osso;0
petti di pollo;frutta rossi, lamponi e ribes;0
peperoni cotti al forno senza pelle;zucchero semolato, bianco;0
tonno pinne gialle;birra glutenfree;0
spinaci surgelati;lenticchie già cotte in padella con aromi;0
luna by planeat.eco - bianco frizzante cortese igt (pv);nocciola in granella;0
cetriolo;fegato di vitello o di maiale;0
hamburger di tacchino (150 gr);ceci lessi;0
melanzane grigliate;strozzapreti;0
zucchine julienne;tonno filetto;0
cavolfiore grattugiato;pomodoro confit;0
passata di pomodoro 100% italia;zenzero marinato;0
maggiorana;limoni il succo e la buccia grattugiata;0
speck;patate grosse;0
insalata songino;arance candita;0
chiodi di garofano;curcuma in polvere;0
girella di salsiccia;biscotti tipo digestive;0
salsa bbq heinz;stoccafisso già ammollato in filetti;0
piselli cotti;chiodi di garofano;0
fusilli tricolore cotti;farina 0;0
formaggio stagionato julienne;ananas polpa;0
prosciutto cotto;mollica di pane in briciole;0
tonno pinne gialle;mandorle sbucciate e tritate;0
filetto di pollo;torrone classico, alle mandorle e nocciole;0
emmenthal bavarese cubettato;caffè della moka poco zuccherato;0
aglio tritato;pinoli;0
nodini fiordilatte;castagna già cotte e sbucciate;0
paillard di scamone;riso 0semifino da risotti;0
dadini di brasato;kirtsh;0
miele di acacia italiano biologico (500g);pomodori ciliegino o datterino;0
insalata cicoria milano;triglia;0
guanciale;nasello;0
mix casera dop/parmigiano 24 mesi;cedro candito;0
melanzane;formaggio stracchino;0
zucchine cubettate;salame cacciatorino;0
fettina di pesce spada fresco 150 gr;pane solo la mollica;0
pomodoro grappolo affettato;prugne fresche;0
penne integrali cotte;sciroppo a scelta;0
filetto di scorfano;pomodori medi;0
banana chiquita;formaggio di pecora fresco;0
salsa di fichi (120g);coriandolo fresco tritato;0
pancake planeat;mandorle in scaglie;0
orata eviscerata (circa 400 g);limoni il succo e la buccia grattugiata;0
misto funghi con porcini congelati;pomodoro san marzano;0
vino bianco;fave fresche, peso al netto degli scarti;0
stracciatella artigianale;zucca cruda al netto degli scarti;0
riso carnaroli classico cavalieri d'italia;corn flakes;0
cavatelli freschi;arancia scorza grattugiata;0
asiago tocchetti;caramello;0
succo di limone;amarena sciroppo;0
insalatina di verdure;parmigiano reggiano grattufiato;0
patate julienne;erba cipollina per decorare;0
bastoncini di carote lavati e mondati;rape rossa;0
fettina di pesce spada fresco 150 gr;brodo di carne;0
piselli cotti;semi di sesamo bianchi e neri;0
emmenthal bavarese;olio di semi di sesamo;0
olio extra vergine di oliva bio levante;arance buccia grattugiata;0
impasto per tortino di spada;cheddar;0
carote julienne;limone il succo e la buccia;0
salsa di soia;cioccolato gocce fondenti;0
radicchio rosso a spicchi;zucchero semolato;0
filetto di pollo;vaniglia in bacca;0
carote e zucchine cubettate;timo limonato;0
carote rondelle surgelate;salmone mousse;0
cubetti di pesce spada;carne di pollo o di vitello;0
pepite di formaggio stagionato 24 mesi;burger di manzo;0
farina di grano tenero 00;colorante alimentare rosso;0
