Ingrediente Lista 1,Ingrediente Lista 2,Indice di Fuzzy
accessori,paccheri,57
acciughe in olio di girasole,acciuga,70
acciughe in olio di girasole,acciughe,74
aceto balsamico di modena i.g.p,aceto,58
aceto balsamico di modena i.g.p,aceto balsamico,95
aceto balsamico di modena i.g.p,aceto balsamico in crema,58
aceto balsamico di modena i.g.p,aceto balsamico tradizionale di modena,58
aceto di mele,aceto,86
aceto di mele,aceto di lamponi,55
aceto di mele,aceto di mele,100
aceto di mele,aceto di riso,55
aceto di mele,aceto di vino,55
aceto di mele,aceto fi mela,68
acqua,acqua,100
acqua,acqua a temperatura ambiente,60
acqua,acqua aromatica alle rose,63
acqua,acqua aromatica di fiori d'arancio,56
acqua,acqua aromatizzata ai fiori,61
acqua,acqua bollente,83
acqua,acqua calda,92
acqua,acqua di cocco,83
acqua,acqua di cottura della pasta,60
acqua,acqua di fiori d'arancio,64
acqua,acqua di fiori di arancio,63
acqua,acqua fredda,89
acqua,acqua freddissima,75
acqua,acqua frizante,83
acqua,acqua frizzante,80
acqua,acqua frizzante fredda,67
acqua,acqua ghiacciata,78
acqua,acqua millefiori,78
acqua,acqua minerale,83
acqua,acqua minerale fredda,68
acqua,acqua minerale frizzante,64
acqua,acqua minerale naturale,66
acqua,acqua molto fredda,73
acqua,acqua oppure brodo vegetale,61
acqua,acqua sbucciato,80
acqua,acqua tazze,92
acqua,acqua temperatura ambiente,62
acqua,acqua tiepida,86
acqua,acqua tiepido,86
acqua,acqua tonica,89
acqua,latte o acqua,86
acqua,latte oppure acqua,73
aglio,aglio,100
aglio,aglio 1/4 di spicchio,68
aglio,aglio essiccato,80
aglio,aglio in camicia,78
aglio,aglio in polvere,78
aglio,aglio intero e schiacciato,62
aglio,aglio novello,86
aglio,aglio polvere,86
aglio,aglio rosso,92
aglio,aglio spicchio,83
aglio,bietola da taglio,75
aglio,burro tagliato a cubetti,64
aglio,carne di manzo taglio fesone,60
aglio,cedro candito e tagliato a cubetti,56
aglio,cioccolato in scaglie,61
aglio,cocco essiccato a scaglie,57
aglio,cocco essiccato in scaglie,56
aglio,cocco in scaglie,68
aglio,cocco in scaglire,66
aglio,emmenthal a scaglie,63
aglio,mandorla a scaglie,65
aglio,mandorla in scaglie,63
aglio,mandorle a scaglie,65
aglio,mandorle in scaglie,63
aglio,manzo taglio cappello del prete,58
aglio,manzo taglio roast beef,66
aglio,manzo taglio roastbeef,67
aglio,miglio,58
aglio,mortadella tagliata a fette,55
aglio,pasta tagliatelle all'uovo,62
aglio,pasta tipo tagliatelle,60
aglio,peperoncino a scaglie,61
aglio,peperoncino in scaglie,60
aglio,peperoncino secco a scaglie,55
aglio,pollo frattaglie,68
aglio,quaglia,97
aglio,sale a scaglie,72
aglio,sale in scaglie,70
aglio,tagliatelle all'uovo,70
aglio,tagliolini,97
aglio,tartufo in scaglie,65
aglio,torrone agli agrumi e pistacchio,57
aglio,uova di quaglia,70
aglio,verza tagliata a strisce,58
aglio a fette,agnello da latte,55
aglio a fette,fragola a fettine,58
aglio a fette,limone a fette,65
aglio a fette,scamorza a fette,55
aglio spicchi pulito,aglio,70
aglio spicchi pulito,aglio (facoltarivo),76
aglio spicchi pulito,aglio essiccato,55
aglio tritato,aglio essiccato,57
aglio tritato,basilico tritato,66
aglio tritato,ghiaccio tritato,61
aglio tritato,origano tritato,57
aglio tritato,rosmarino tritato,58
aglio tritato,salvia tritata,59
aglio tritato,timo tritato,64
alette di pollo,latte di cocco,55
alette di pollo,pollo,80
alette di pollo marinate (4 pz),pollo,63
alette di pollo marinate (4 pz),pollo (petti),69
alette di pollo tagliate,aglio,58
alette di pollo tagliate,pollo,64
alette di pollo tagliate,pollo (petti),70
alloro,alloro,100
anacardi tostati e salati,anacardo,78
anacardi tostati e salati,cardi,63
ananas cubetti per spiedini,ananas,66
ananas maturato in pianta,ananas,69
ananas tagliato maturato in pianta,aglio,56
ananas tagliato maturato in pianta,ananas,60
anelli di totano surgelato,gelato,68
anelli di totano surgelato,totano,68
aneto,aceto,64
aneto,aneto,100
aneto,aneto semi,97
aneto,panettone monoporzione,67
aneto,panettone salato,78
anguria,angostura,60
anguria,anguria,100
anguria,anguria al netto degli scarti,69
anguria,anguria succo,100
anguria tagliata pronta al consumo,aglio,56
anguria tagliata pronta al consumo,anguria,64
arancia navel,arance,93
arancia navel,arancia,100
arancia navel,arancia amare,62
arancia navel,arancia candita,57
arancia navel,arancia grande,59
arancia navel,arancia rossa,55
arrostoni con vitello,vitella,73
arrostoni con vitello,vitello,80
asiago fresco dop,asiago,82
asiago fresco dop,basilico fresco,55
asiago tocchetti,anguria a tocchetti,59
asiago tocchetti,fragola a tocchetti,59
asparagi surgelati,asparago,84
asparagi surgelati,asparago selvatici,62
asparagi surgelati,edamame surgelati,55
asparagi surgelati,gelato,72
asparagi surgelati,piselli surgelati,55
asparagina,asparago bianco,58
asparagina,lasagna,57
asparagina fresca rondelle it,asparago,73
asparagina mondata,asparago,92
asparagina mondata,panna montata,57
avocado hass,avocado maturo,55
avocado hass fette,avocado,86
bacche di ginepro,ginepro,88
bacon,bacon,100
baffa di salmone fresco,salmone,77
banana chiquita,ananas,78
banana chiquita,banana,87
banana chiquita,panna liqudia,57
banana chiquita,panna liquida,57
base per pizza,impasto per pizza,62
base per pizza,mozzarella per pizza,57
basilico fresco,alici fresche,57
basilico fresco,alloro fresco,57
basilico fresco,asiago fresco,63
basilico fresco,basilico fresco,100
basilico fresco,basilico greco fresco,66
basilico fresco,basilico ligure,58
basilico fresco,basilico tritato,57
basilico fresco,lievito fresco,55
basilico fresco,limone fresco,57
basilico fresco,salmone fresco,55
basilico fresco,timo fresco,55
bastoncini di carote lavati e mondati,carota,58
bastoncini di carote lavati e mondati,carote,58
besciamella artigianale,besciamella,95
birra artigianale orange bock,birra,59
birra artigianale reset,birra,66
biscotti petit,biscotti amaretti,62
biscotti petit,biscotti digestive,60
biscotti petit,biscotti secchi,61
biscotto omino,biscotto oreo,65
bocconcini di pollo,brodo di pollo,58
bocconcini di pollo,pollo,72
bocconcini di tacchino,ossobuco di tacchino,57
bocconcini di vitello,carne macinata di vitello,56
bocconcini di vitello,carne macinato di vitello,56
bocconcini di vitello,macinato di vitello,56
bocconcini di vitello,ossobuco di vitello,56
bocconcini di vitello,vitella,73
bocconcini di vitello,vitello,80
branzino eviscerato (circa 400 g),branzino,87
branzino eviscerato (circa 400 g),branzino (da 400-500 g l'uno),92
bresaola artigianale,bresaola,87
bresaola artigianale affettata,bresaola,72
bresaola artigianale affettata,bresaola affettata,60
bresaola punta d'anca,bresaola,85
bresaola punta d'anca affettata,bresaola,71
bresaola punta d'anca affettata,bresaola affettata,58
broccoli cubettati,broccolo,84
broccoli freschi,broccolo,88
broccoli freschi,cocco fresco,57
broccoli freschi,fico freschi,57
broccoli freschi,fiori freschi,55
broccoli freschi,germogli freschi,60
broccoli freschi,peperoncino freschi,55
broccoli freschi,rucola fresca,55
buccia di limone grattugiata,limone,65
buccia di limone grattugiata,limone ( succo di 1/2 limone),70
buccia di limone grattugiata,limone (il succo),70
buccia di limone grattugiata,limone (la buccia grattugiata),70
buccia di limone grattugiata,limone (la scorza grattugiata),70
buccia di limone grattugiata,limone (la scorza),70
buccia di limone grattugiata,limone (scorza grattugiata),70
buccia di limone grattugiata,limone (scorza),70
buccia di limone grattugiata,limone (succo),70
buccia di limone grattugiata,"limone , la scorza grattugiata",92
buccia di limone grattugiata,limoni,65
burro,burrata,97
burro,burro,100
burro,burro a temperatura ambiente,60
burro,burro chiarificato,73
burro,burro d'arachidi,78
burro,burro di arachidi,75
burro,burro di cocco,83
burro,burro di soia,86
burro,burro feddo,92
burro,burro freddo,89
burro,burro freddo a dadini,68
burro,burro freddo a pezzetti,66
burro,burro fuso,97
burro,burro fuso e fatto intiepidire,59
burro,burro fuso e fatto raffreddare,59
burro,burro fuso fatto raffreddare,60
burro,burro fuso raffreddato,67
burro,burro leggermente salato,64
burro,"burro leggermente salato, freddo",57
burro,burro morbido,86
burro,burro per lo stampo,72
burro,burro pomata,89
burro,burro salato,89
burro,burro sciolto e raffreddato,61
burro,burro tagliato a cubetti,64
burro,cioccolato burro,78
burro,strutto o burro,80
burro 125 g,burro,92
burro agli aromi,aglio,78
burro agli aromi,burro,78
burro agli aromi,burro 1,82
burro agli aromi,burro salato,57
caciocavallo silano dop,caciocavallo,99
caciocavallo silano dop,caciocavallo fresco,57
caciocavallo silano dop,caciocavallo o parmigiano,57
caciocavallo silano dop,caciocavallo stagionato,59
calamarata,pasta tipo calamarata,95
capperi e olive taggiasche,cappero,72
capperi e olive taggiasche,oliva,62
capperi e olive taggiasche,olive,62
capperi e olive taggiasche,olive teaggiasche,59
capperi lacrimella in aceto,aceto,61
capperi lacrimella in aceto,cappero,71
carciofi a spicchi surgelati,carciofo,69
carciofi a spicchi surgelati,gelato,59
carne salada a fette,carne,70
carne salata,carne,89
carne salata,carne macinata,62
carne salata,carne macinato,55
carne salata,carne salada trentina,58
carne salata,insalata,56
carne salata,ricotta salata,55
carne trita di bovino e suino,carne,59
carne trita scelta di bovino,carne,60
carote,carne,58
carote,carota a julienne,82
carote,carota media,97
carote,carota piccola,80
carote,carota tritata,80
carote,carote,100
carote,carote al netto degli scarti,65
carote,carote già pulite,82
carote,carote medie,97
carote,carote novella,90
carote,carote piccole,90
carote,carote tritata,90
carote,carote viola,97
carote cubettate,carota,85
carote cubettate,carote,85
carote cubettate,carote tritata,58
carote cubettate cotte,carota,73
carote cubettate cotte,carote,73
carote e asparagi,asparago,86
carote e asparagi,carota,82
carote e asparagi,carote,82
carote e zucchine cubettate,carota,66
carote e zucchine cubettate,carote,66
carote e zucchine cubettate,zucca,61
carote e zucchine cubettate,zucchina,76
carote e zucchine cubettate,zucchine,76
carote e zucchine cubettate cotte,carota,61
carote e zucchine cubettate cotte,carote,61
carote e zucchine cubettate cotte,zucca,56
carote e zucchine cubettate cotte,zucchina,69
carote e zucchine cubettate cotte,zucchine,69
carote fiammifero,carota,82
carote fiammifero,carote,82
carote julienne,carota,78
carote julienne,carota a julienne,70
carote julienne,carote,87
carote julienne,carote già pulite,55
carote pelate,carota,93
carote pelate,carote,93
carote pelate,carote già pulite,58
carote pelate,carote medie,58
carote pelate,carote novella,59
carote pelate,carote viola,58
carote pelate,farro pelato,58
carote pelate,farro perlato,55
carote pelate,mandorle pelate,57
carote pelate,pelati,83
carote rondelle cotte,carota,67
carote rondelle cotte,carote,74
carote rondelle surgelate,carota,69
carote rondelle surgelate,carote,69
carote rondelle surgelate,gelato,62
casera valtellina dop,casatella dop ( o altro formaggio morbido),59
catalogna,castagna,66
catalogna,scalogni,57
catalogna,scalogno,57
cavatelli freschi,cavatelli freschi,100
cavatelli freschi,fava fresche,55
cavatelli freschi,piselli freschi,60
cavoletti bruxelles,cavoletti di bruxelles,74
cavoletti bruxelles,cavoli,78
cavoletti bruxelles,cavolo,70
cavolfiore grattugiato,caciocavallo grattugiato,56
cavolfiore grattugiato,caciocavallo podolico grattugiato,55
cavolfiore grattugiato,cavolfiore bianco,58
cavolfiore grattugiato,cavolfiore giallo,62
cavolfiore grattugiato,cavolfiore grande,58
cavolfiore grattugiato,cavoli,73
cavolfiore grattugiato,cavolo,73
cavolfiore grattugiato,cocco grattugiato,62
cavolfiore grattugiato,formaggio grattugiato,56
cavolfiore grattugiato,pane grattuggiato,58
cavolfiore grattugiato,pane grattugiato,59
cavolfiore grattugiato,pecorino grattugiato,57
cavolfiori,cavolfiore grande,97
cavolfiori,cavolfiore lesso,99
cavolfiori,cavolfiore media grandezza,86
cavolfiori cubettati,cavolfiore,97
