Ingrediente Lista 1,Ingrediente Lista 2,Indice di Fuzzy
aceto balsamico di modena i.g.p,aceto balsamico di modena,89
aceto di mele,aceto di mela,92
aceto di mele,aceto di mele,100
aceto di mele,aceto fi mela,85
acqua,acqua,100
aglio,aglio,100
aglio,aglione,83
aglio tritato,basilico tritato,83
alloro,alloro,100
aneto,aneto,100
anguria,anguria,100
asiago fresco dop,asiago fresco,87
bacon,bacon,100
basilico fresco,basilico fresca,93
basilico fresco,basilico fresco,100
basilico fresco,basilico greco fresco,83
burro,burro,100
burro,burro 1,83
carote,carota,83
carote,carote,100
carote julienne,carota a julienne,88
cavatelli freschi,cavatelli freschi,100
cavoletti bruxelles,cavoletti di bruxelles,93
cavolfiori,cavolfiore,90
cavolo rosso,cavoli rosso,92
ceci bio cotti,ceci cotti,83
cetriolo,cetriolino,89
cetriolo,cetriolo,100
chiodi di garofano,chiodi di garofano,100
ciabattina di semola di grano duro,farina di semola di grano duro,88
cipolla,cipolla,100
cipolla,cipolle,86
cipolla rossa,cipolla grossa,96
cipolla rossa,cipolla rossa,100
cipolla rossa,cipolle rossa,92
cipolla rossa,cipolle rosse,85
cipolla tritata,cipolla dorata,83
cipolla tritata,cipolla ramata,83
cipolla tritata,cipolla tritata,100
cipolla tritata,cipolle tritata,93
cotechino cotto,cotechino precotto,91
couscous,couscous,100
cumino macinato,manzo macinato,83
cumino semi,cumino in semi,88
cumino semi,cumino semi,100
cuori di borragine,fiori di borraggine,86
erba cipollina,erba cipollina,100
erbe aromatiche,erbe aromatiche,100
erbe aromatiche,erbe aromatiche miste,83
fagioli borlotti bio,fagiolini borlotti,84
fagioli borlotti bio,fagiolo borlotti,83
fagioli cannellini bio,fagiolo cannellini,85
fagiolini cotti,fagiolini borlotti,85
farina 00,farina 0,94
farina 00,farina 00,100
farina 00,farina 450,84
farina di ceci,farina di ceci,100
farina di ceci,farina di cocco,83
farro perlato,farro pelato,96
farro perlato,farro perlato,100
feta,feta,100
finocchi,finocchio,94
finocchietto selvatico,finocchietto selvatico,100
finocchio a spicchi,finocchio piccoli,83
fiori di zucca,fiori di zucca,100
fiori di zucca,fiori di zucchina,90
formaggio grattugiato fresco,formaggio grattugiato,86
formaggio spalmabile,formaggio fresco spalmabile,85
formaggio spalmabile,formaggio spalamabile,98
formaggio spalmabile,formaggio spalmabile,100
formaggio spalmabile,formaggio spalmabile light,87
formaggio spalmabile 100 g,formaggio spalamabile,85
formaggio spalmabile 100 g,formaggio spalmabile,87
formaggio spalmabile 100 g,formaggio spalmabile light,85
funghi champignon crema,funghi champignon,85
funghi champignon crema,funghi champignon freschi,83
funghi pioppini,funghi porcini,83
funghi porcini,funghi porcini,100
fusilli,fusilli,100
fusilli integrali,fusilli integrali,100
fusilli integrali cotti,fusilli integrali,85
germogli di soia,germogli di soia,100
gnocchi di patate,gnocchi di patate,100
guanciale,guanciale,100
guanciale cubettato,guanciale a cubetti,84
insalata mista,insalata mista,100
insalata mista,insalata misticanza,85
insalata songino,insalata songino,100
latte di cocco,latte di cocco,100
limone,limone,100
limone,limoni,83
linguine,linguine,100
lupini,lipini,83
maggiorana,maggiorana,100
maionese,maionese,100
mais,mais,100
mandorle pelate,mandorle latte,90
mandorle pelate,mandorle non pelate,88
mandorle pelate,mandorle pasta,83
mandorle pelate,mandorle pelata,93
mandorle pelate,mandorle pelate,100
mandorle pelate,mandorle spellate,94
marsala semi secco,marsala secco,84
mascarpone,mascarpone,100
mela golden,mela golden,100
melanzane,melanzana,89
melone,melone,100
menta,menta,100
miele,miele,100
mozzarella di bufala 125 g,mozzarella di bufala,87
mozzarella di bufala a fette,mozzarella di bufala,83
mozzarella fiordilatte,mozarella fiordilatte,98
mozzarella fiordilatte,mozzarella fior di latte,96
mozzarella fiordilatte,mozzarella fiordialatte,98
mozzarella fiordilatte,mozzarella fiordilatta,95
mozzarella fiordilatte,mozzarella fiordilatte,100
mozzarella fiordilatte,mozzarella tipo fiordilatte,90
noci,noci,100
noci tritate,nocciola tritate,86
noci tritate,noci tritate,100
olio di semi di girasole,olio di semi di girasole,100
olio extravergine di oliva,olio extra vergine di oliva,98
olio extravergine di oliva,olio extravergine d oliva,98
olio extravergine di oliva,olio extravergine d'oliva,94
olio extravergine di oliva,olio extravergine di oiliva,98
olio extravergine di oliva,olio extravergine di olica,96
olio extravergine di oliva,olio extravergine di oliv,98
olio extravergine di oliva,olio extravergine di oliva,100
olio extravergine di oliva,olio extravergine di oliva delicato,85
olio extravergine di oliva,olio extravergine di olvia,96
olio extravergine di oliva,olio extravergine dioliva,98
olive taggiasche,olive taggiasche,100
olive taggiasche,olive teaggiasche,97
origano essiccato,origano essiccato,100
origano essiccato,rosmarino essiccato,83
orzo perlato,orzo perlato,100
ossobuco di vitello,ossobuco di vitello,100
paccheri,paccheri,100
pane grattugiato,pane grattato,90
pane grattugiato,pane grattuggiato,97
pane grattugiato,pane grattugiato,100
pane in cassetta,pane a cassetta,90
pane in cassetta,pane in cassetta,100
pane raffermo,pandoro raffermo,83
pane raffermo,pane raffermo,100
panna fresca,panna fresca,100
panna fresca da montare,panna fresca liquida da montare,85
paprika,paprika,100
