Ingrediente Lista 1,Ingrediente Lista 2,Indice di Fuzzy
acqua,acqua,100
aglio,aglio,100
aglio,aglione,83
alloro,alloro,100
aneto,aceto,80
anguria,anguria,100
bacon,bacon,100
basilico fresco,basilico fresco,100
burro,burro,100
carote,carota,83
carote,carote,100
catalogna,castagna,82
cavatelli freschi,cavatelli freschi,100
cavoletti bruxelles,cavoletti di bruxelles,93
cavolfiori,cavolfiore,90
ceci bio cotti,ceci cotti,83
cetriolo,cetriolo,100
cime di rapa cotte,cime di rapa,80
cipolla,cipolla,100
cipolla,cipolle,86
cipolla rossa,cipolla rossa,100
cipolla rossa,cipolle rossa,92
cipolla rossa,cipolle rosse,85
code gambero argentino,gambero argentini,82
cotechino cotto,cotechino precotto,91
couscous,couscous,100
cozze,cozza,80
cumino macinato,manzo macinato,83
cumino macinato,tacchino macinato,81
curry madras,curry madras forte,80
erba cipollina,erba cipollina,100
erba cipollina,erba cipollina fresca,80
erbe aromatiche,erbe aromatiche,100
fagioli borlotti bio,fagiolo borlotti,83
fagioli cannellini bio,fagiolo cannellini secchi,81
"farina ""00""",farina 00,90
farina di ceci,farina di ceci,100
farina di ceci,farina di cocco,83
farro perlato,farro pelato,96
farro perlato,farro perlato,100
farro perlato,orzo perlato,80
farro perlato cotto,farro perlato,81
feta,feta,100
finocchi,finocchietto,80
finocchi,finocchio,94
finocchi,gnocchi,80
finocchietto selvatico,finocchietto selvatico,100
finocchietto selvatico,finocchietto semi,82
fiori di zucca,fiori di zucca,100
fiori di zucca,fiori di zucchina,90
formaggio spalmabile,formaggio spalmabile,100
formaggio spalmabile 100 g,formaggio spalmabile,87
funghi champignon crema,funghi champignon,85
funghi champignon crema,funghi champignon freschi,83
funghi pioppini,funghi chiodini,80
funghi pioppini,funghi porcini,83
funghi porcini,funghi porcini,100
funghi porcini,funghi porcini secchi,80
fusilli,fusilli,100
fusilli integrali,fusilli integrali,100
fusilli integrali cotti,fusilli integrali,85
gnocchi di patate,gnocchi di patate,100
insalata mista,insalata mista,100
insalata mista,insalata misticanza,85
latte di cocco,latte di cocco,100
limone,lime,80
limone,limone,100
limone,limoni,83
linguine,linguine,100
maionese,maionese,100
mandorle pelate,mandorle latte,90
mandorle pelate,mandorle pasta,83
mandorle pelate,mandorle pelate,100
mandorle pelate,mandorle spellate,94
mascarpone,mascarpone,100
mela golden,mela golden,100
mela golden,mela tipo golden,81
melanzane,melanzana,89
melone,melograne,80
melone,melone,100
menta,menta,100
miele,miele,100
mozzarella di bufala 125 g,mozzarella da 250 g,80
mozzarella fiordilatte,mozzarella fior di latte,96
mozzarella fiordilatte,mozzarella fiordilatte,100
mozzarella julienne,mozzarella ciliegine,82
noci,noci,100
olio di semi di girasole,olio di semi di mais,82
olio extra vergine di oliva bio levante,olio extravergine di oliva,80
olio extravergine di oliva,olio extravergine di oliva,100
olio extravergine di oliva,olio extravergine dioliva,98
olive taggiasche,olive taggiasche,100
origano essiccato,origano secco,80
origano essiccato,rosmarino essiccato,83
orzo perlato,farro perlato,80
orzo perlato,orzo perlato,100
orzo perlato cotto,orzo perlato,80
ossobuco di vitello,ossobuco di vitello,100
paccheri,paccheri,100
pane grattugiato,pangrattato,81
pane grattugiato,zenzero grattugiato,80
pane in cassetta,pane a cassetta,90
pane raffermo,pane raffermo,100
panna fresca,ananas fresco,80
panna fresca,pancetta fresca,81
panna fresca,panna fresca,100
paprika,paprika,100
parmigiano reggiano,parmigiano reggiano,100
pasta corta,pasta corta,100
patate,patata,83
patate,patate,100
pepe nero in grani,pepe rosa in grani,89
pepe nero macinato,pepe nero macinato,100
pepe nero macinato,pepe nero macinato fresco,84
pepe nero macinato,"pepe nero, macinato fresco",82
pepe rosa in grani,pepe rosa in grani,100
peperoni,peperone,88
pera kaiser,pera kaiser,100
pesca nettarina,pesca nettarine,93
pesca nettarina,pesca nettarine igp,82
piadina,piadina,100
pinoli,pinoli,100
pomodori ciliegini,pomodori ciliegini,100
pomodori ciliegini,pomodori ciliegino,94
pomodori ciliegini,pomodori ciliegino giallo,84
pomodori ciliegini,pomodoro ciliegini,94
pomodori ciliegini,pomodoro ciliegino,89
pomodori datterini,pomodori datterini confit,84
pomodori datterini,pomodori datterini gialli,84
pomodori datterini,pomodori datterino,94
pomodori secchi,pomodori secchi,100
pomodori secchi,pomodori succo,83
pomodoro grappolo,pomodori a grappolo,89
prosciutto cotto,prosciutto cotto,100
prosciutto cotto,prosciutto cotto a fette,80
prosciutto cotto,prosciutto crudo,81
provola affumicata,provola affumicata,100
radicchio rosso,radicchio rocchio,81
radicchio rosso,radicchio rosso,100
ravioli di zucca,fiori di zucca,80
rigatini,rigatoni,88
riso basmati,riso basmati,100
riso basmati cotto,riso basmati,80
riso carnaroli,riso carnaroli,100
riso carnaroli cotto,riso carnaroli,82
riso parboiled,riso parboiled,100
riso venere,riso venere,100
rosmarino fresco,origano fresco,80
rosmarino fresco,rosmarino essiccato,80
rosmarino fresco,rosmarino fresco,100
rosmarino fresco,rosmarino secco,84
rucola,rucola,100
salamini cacciatorini,salame cacciatorino,85
salmone affumicato,salmone affumicato,100
salmone affumicato,salmone affumicato a fette,82
salsa di soia,salsa di soia,100
salsa di soia,salsa di soia fino,84
salsa di soia kikkoman,salsa di soia fino,80
salvia fresca,sarda fresca,80
scamone,salmone,86
sedano,sedano,100
sedano rapa,sedano rapa,100
semi di sesamo,semi di sesamo,100
senape,senape,100
spada fresco,sarda fresca,83
spaghetti,spaghetti,100
spaghettoni,spaghetti,90
speck,speck,100
spinaci freschi cotti,spinaci freschi,83
succo di limone,succo di limone,100
tagliatelle secche all'uovo,tagliatelle all'uovo,85
taleggio dop,taleggio,80
tortiglioni,tortiglioni,100
trofie fresche,trofie fresche,100
vino rosso,vino rosso,100
vongole veraci,vongole veraci,100
zenzero,zenzero,100
zucca,zucca,100
zucchero a velo,zucchero a velo,100
zucchero semolato,zucchero semolato bianco,83
zucchero semolato bianco,zucchero semolato bianco,100
zucchine,zucchina,88
zucchine,zucchine,100
