"id","ingredient_name","prime_item_id"
"1100","accessori",""
"317","acciughe in olio di girasole",""
"2498","aceto balsamico di modena i.g.p",""
"68","aceto di mele",""
"1540","acqua",""
"235","aglio",""
"48","aglio a fette","2926"
"3178","aglio spicchi pulito","235"
"2926","aglio spicchi pulito","235"
"1147","aglio tritato","2926"
"1790","alette di pollo",""
"1826","alette di pollo marinate  (4 pz)",""
"1825","alette di pollo tagliate","1790"
"272","alloro",""
"2500","anacardi tostati e salati",""
"1050","ananas cubetti per spiedini","984"
"984","ananas maturato in pianta",""
"985","ananas tagliato maturato in pianta","984"
"1728","anelli di totano surgelato",""
"1489","aneto",""
"1716","anguria",""
"1717","anguria tagliata pronta al consumo","1716"
"23","arancia navel",""
"2872","arrosticini di pecora decongelati origine italia",""
"2856","arrosto di fesa di tacchino",""
"2968","arrostoni con vitello",""
"2747","asiago fresco dop",""
"3058","asiago tocchetti","2747"
"447","asparagina",""
"445","asparagina fresca rondelle it","443"
"443","asparagina  mondata","447"
"3405","asparagi surgelati",""
"2745","avocado hass",""
"2927","avocado hass",""
"2928","avocado hass fette","2927"
"2202","bacche di ginepro",""
"690","bacon",""
"237","baffa di salmone fresco",""
"21","banana chiquita",""
"3040","base per pizza",""
"35","basilico fresco",""
"3180","basilico fresco",""
"50","bastoncini di carote lavati e mondati","234"
"647","besciamella artigianale",""
"929","birra artigianale orange bock",""
"928","birra artigianale reset",""
"1152","biscotti petit",""
"3079","biscotto omino",""
"2867","bocconcini di pane",""
"1052","bocconcini  di pollo","239"
"1303","bocconcini di tacchino","419"
"1289","bocconcini di vitello","240"
"1763","branzino eviscerato (circa 400 g)",""
"1338","bresaola artigianale",""
"1339","bresaola artigianale affettata","1338"
"115","bresaola punta d'anca",""
"2791","bresaola punta d'anca affettata","115"
"932","broccoli cubettati","334"
"334","broccoli freschi",""
"3067","buccia di limone grattugiata","51"
"1425","burro",""
"1099","burro 125 g",""
"3069","burro agli aromi",""
"430","caciocavallo silano dop",""
"806","cacio e pepe",""
