Versione,Soglia,Risposte Corrette,Risposte Incorrette,True Positive,True Negative,False Positive,False Negative,Precisione,Specificità,Recall,F1 Score
cf1,70,905,95,231,674,69,26,0.77,0.963,0.899,0.83
cf2,10,937,63,243,694,49,14,0.832,0.98,0.946,0.885
cf2,20,937,63,243,694,49,14,0.832,0.98,0.946,0.885
cf2,30,937,63,243,694,49,14,0.832,0.98,0.946,0.885
cf2,40,936,64,242,694,49,15,0.832,0.979,0.942,0.884
cf2,50,939,61,242,697,46,15,0.84,0.979,0.942,0.888
cf2,60,939,61,237,702,41,20,0.853,0.972,0.922,0.886
cf2,70,945,55,218,727,16,39,0.932,0.949,0.848,0.888
cf3,40,887,113,239,648,95,18,0.716,0.973,0.93,0.809
cf4,30,882,118,242,640,103,15,0.701,0.977,0.942,0.804
cf4,40,902,98,203,699,44,54,0.822,0.928,0.79,0.806
cf5,60,910,90,213,697,46,44,0.822,0.941,0.829,0.825
cf6,50,904,96,227,677,66,30,0.775,0.958,0.883,0.825
